Iteration	Mach	Pressure [Pa]	Velocity [m/s]	Temperature [K]	Density [kg/m^3]	Speed of Sound [m/s]	Y_O2	Y_N2	Y_H2	Y_OH	Y_O	Y_H	Y_H2O	Y_NO	Y_N	Y_HO2	Y_H2O2	Y_HNO	Y_NO2	Mass flow rate [kg/s]	Area [m^2]	Axial location
26	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
27	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
28	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
29	0.577350	2.868173e+04	377.98	1133.95	8.739296e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
30	0.577350	2.868173e+04	377.98	1133.95	8.739296e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
31	0.577350	2.868173e+04	377.98	1133.95	8.739296e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
32	0.577350	2.868173e+04	377.98	1133.95	8.739295e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
33	0.577350	2.868173e+04	377.98	1133.95	8.739294e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
34	0.577351	2.868172e+04	377.98	1133.95	8.739291e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
35	0.577351	2.868172e+04	377.98	1133.95	8.739289e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
36	0.577351	2.868172e+04	377.98	1133.95	8.739285e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
37	0.577351	2.868172e+04	377.98	1133.95	8.739285e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
38	0.577351	2.868171e+04	377.98	1133.95	8.739277e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
39	0.577352	2.868169e+04	377.98	1133.95	8.739270e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
40	0.577352	2.868168e+04	377.98	1133.95	8.739262e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
41	0.577352	2.868167e+04	377.98	1133.95	8.739254e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
42	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
43	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
44	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
45	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
46	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
47	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
48	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
49	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
50	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
51	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
52	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
53	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
54	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
55	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
56	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
57	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
58	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
59	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
60	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
61	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
62	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
63	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
64	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
65	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
66	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
67	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
68	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131094	4.000000	0.000000
69	0.577353	2.868166e+04	377.98	1133.96	8.739245e-02	654.68	0.209107	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
70	0.577353	2.868165e+04	377.98	1133.96	8.739237e-02	654.68	0.209106	0.786645	0.004247	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
71	0.577354	2.868163e+04	377.98	1133.96	8.739228e-02	654.68	0.209106	0.786645	0.004247	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
72	0.577354	2.868162e+04	377.98	1133.96	8.739219e-02	654.68	0.209106	0.786645	0.004247	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	132.131092	4.000000	0.000001
73	0.577355	2.868158e+04	377.98	1133.96	8.739192e-02	654.68	0.209105	0.786645	0.004247	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	132.131092	4.000000	0.000001
74	0.577355	2.868158e+04	377.98	1133.96	8.739192e-02	654.68	0.209105	0.786645	0.004247	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	132.131092	4.000000	0.000001
75	0.577357	2.868154e+04	377.99	1133.96	8.739163e-02	654.68	0.209104	0.786645	0.004247	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	132.131092	4.000000	0.000001
76	0.577358	2.868150e+04	377.99	1133.97	8.739133e-02	654.68	0.209103	0.786645	0.004247	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	132.131092	4.000000	0.000001
77	0.577362	2.868141e+04	377.99	1133.97	8.739067e-02	654.68	0.209102	0.786645	0.004247	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000004	0.000001	0.000000	0.000000	132.131092	4.000000	0.000001
78	0.577362	2.868140e+04	377.99	1133.97	8.739067e-02	654.68	0.209102	0.786645	0.004247	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000004	0.000001	0.000000	0.000000	132.131092	4.000000	0.000001
79	0.577365	2.868130e+04	377.99	1133.98	8.738993e-02	654.69	0.209100	0.786645	0.004246	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000005	0.000001	0.000000	0.000000	132.131092	4.000000	0.000001
80	0.577369	2.868118e+04	378.00	1133.99	8.738911e-02	654.69	0.209098	0.786645	0.004246	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000006	0.000002	0.000000	0.000000	132.131092	4.000000	0.000002
81	0.577374	2.868105e+04	378.00	1134.00	8.738820e-02	654.69	0.209096	0.786645	0.004246	0.000000	0.000000	0.000000	0.000004	0.000000	0.000000	0.000007	0.000002	0.000000	0.000000	132.131092	4.000000	0.000002
82	0.577379	2.868091e+04	378.00	1134.00	8.738721e-02	654.69	0.209093	0.786645	0.004246	0.000000	0.000000	0.000000	0.000005	0.000000	0.000000	0.000008	0.000003	0.000000	0.000000	132.131092	4.000000	0.000002
83	0.577384	2.868076e+04	378.01	1134.01	8.738613e-02	654.69	0.209091	0.786645	0.004246	0.000000	0.000000	0.000000	0.000005	0.000000	0.000000	0.000009	0.000004	0.000000	0.000000	132.131092	4.000000	0.000003
84	0.577390	2.868059e+04	378.01	1134.02	8.738498e-02	654.69	0.209089	0.786645	0.004246	0.000000	0.000000	0.000000	0.000006	0.000000	0.000000	0.000009	0.000005	0.000000	0.000000	132.131092	4.000000	0.000003
85	0.577396	2.868042e+04	378.02	1134.04	8.738375e-02	654.70	0.209086	0.786645	0.004246	0.000000	0.000000	0.000000	0.000007	0.000000	0.000000	0.000010	0.000006	0.000000	0.000000	132.131092	4.000000	0.000003
86	0.577403	2.868023e+04	378.03	1134.05	8.738246e-02	654.70	0.209084	0.786645	0.004245	0.000000	0.000000	0.000000	0.000008	0.000000	0.000000	0.000011	0.000008	0.000000	0.000000	132.131092	4.000000	0.000003
87	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
88	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
89	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
90	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
91	0.577409	2.868004e+04	378.03	1134.06	8.738111e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
92	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
93	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
94	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
95	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
96	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
97	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
98	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
99	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
100	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
101	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
