Iteration	Mach	Pressure [Pa]	Velocity [m/s]	Temperature [K]	Density [kg/m^3]	Speed of Sound [m/s]	Y_O2	Y_N2	Y_H2	Y_OH	Y_O	Y_H	Y_H2O	Y_NO	Y_N	Y_HO2	Y_H2O2	Y_HNO	Y_NO2	Mass flow rate [kg/s]	Area [m^2]	Axial location
22	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
23	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
24	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
25	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359589	4.000000	0.000000
26	2.000000	5.949381e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
27	2.000000	5.949380e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
28	2.000000	5.949381e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
29	2.000000	5.949380e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
30	2.000001	5.949378e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
31	2.000001	5.949378e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
